ENSG00000227232.5 WASH7P hsa-miR-6859-5p
ENSG00000227232.5 WASH7P hsa-miR-6859-3p
ENSG00000243485.5 MIR1302-2HG hsa-miR-1302
ENSG00000279457.4 WASH9P hsa-miR-6859-5p
ENSG00000279457.4 WASH9P hsa-miR-6859-3p
ENSG00000230021.10 AL669831.3 hsa-miR-12136
ENSG00000131584.19 ACAP3 hsa-miR-6726-5p
ENSG00000131584.19 ACAP3 hsa-miR-6726-3p
ENSG00000127054.20 INTS11 hsa-miR-6727-5p
ENSG00000127054.20 INTS11 hsa-miR-6727-3p
ENSG00000107404.20 DVL1 hsa-miR-6808-5p
ENSG00000107404.20 DVL1 hsa-miR-6808-3p
ENSG00000142611.17 PRDM16 hsa-miR-4251
ENSG00000162591.16 MEGF6 hsa-miR-551a
ENSG00000074800.16 ENO1 hsa-miR-6728-5p
ENSG00000074800.16 ENO1 hsa-miR-6728-3p
ENSG00000228526.7 MIR34AHG hsa-miR-34a-5p
ENSG00000228526.7 MIR34AHG hsa-miR-34a-3p
ENSG00000173614.14 NMNAT1 hsa-miR-5697
ENSG00000116691.11 MIIP hsa-miR-6729-5p
ENSG00000116691.11 MIIP hsa-miR-6729-3p
ENSG00000028137.19 TNFRSF1B hsa-miR-7846-3p
ENSG00000028137.19 TNFRSF1B hsa-miR-4632-3p
ENSG00000028137.19 TNFRSF1B hsa-miR-4632-5p
ENSG00000162496.9 DHRS3 hsa-miR-6730-5p
ENSG00000162496.9 DHRS3 hsa-miR-6730-3p
ENSG00000142619.4 PADI3 hsa-miR-3972
ENSG00000159423.17 ALDH4A1 hsa-miR-4695-5p
ENSG00000159423.17 ALDH4A1 hsa-miR-4695-3p
ENSG00000159423.17 ALDH4A1 hsa-miR-1290
ENSG00000158828.8 PINK1 hsa-miR-6084
ENSG00000075151.20 EIF4G3 hsa-miR-1256
ENSG00000133216.16 EPHB2 hsa-miR-4684-5p
ENSG00000133216.16 EPHB2 hsa-miR-4684-3p
ENSG00000004487.16 KDM1A hsa-miR-3115
ENSG00000020633.18 RUNX3 hsa-miR-6731-5p
ENSG00000020633.18 RUNX3 hsa-miR-6731-3p
ENSG00000117632.23 STMN1 hsa-miR-3917
ENSG00000117676.14 RPS6KA1 hsa-miR-1976
ENSG00000162511.8 LAPTM5 hsa-miR-4420
ENSG00000121753.12 ADGRB2 hsa-miR-4254
ENSG00000121775.18 TMEM39B hsa-miR-5585-5p
ENSG00000121775.18 TMEM39B hsa-miR-5585-3p
ENSG00000134686.18 PHC2 hsa-miR-3605-5p
ENSG00000134686.18 PHC2 hsa-miR-3605-3p
ENSG00000287703.1 AC099565.1 hsa-miR-552-3p
